num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S019363;12/05/2023;13:25:00;CALL. PIÑUECAR / EL BERRU;53;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;439028.207;4465383.857;N;NULL
2023S019364;12/05/2023;13:20:00;CALL. LILLO / ANDA;50;17;VILLAVERDE;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;441109.903;4468182.224;N;NULL
2023S019364;12/05/2023;13:20:00;CALL. LILLO / ANDA;50;17;VILLAVERDE;Alcance;Despejado;Turismo;Conductor;De 70 a 74 años;Hombre;14;Sin asistencia sanitaria;441109.903;4468182.224;N;NULL
2023S019365;12/05/2023;13:55:00;PASEO. CASTELLANA / SAN JUAN DE LA CRUZ;78;5;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;441392.568;4476808.783;N;NULL
2023S019365;12/05/2023;13:55:00;PASEO. CASTELLANA / SAN JUAN DE LA CRUZ;78;5;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Mujer;2;Ingreso inferior o igual a 24 horas;441392.568;4476808.783;N;NULL
2023S019365;12/05/2023;13:55:00;PASEO. CASTELLANA / SAN JUAN DE LA CRUZ;78;5;CHAMARTÍN;Alcance;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441392.568;4476808.783;N;NULL
2023S019366;12/05/2023;14:30:00;CALL. GRAN VIA, 2;2;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;440829.056;4474508.929;N;NULL
2023S019366;12/05/2023;14:30:00;CALL. GRAN VIA, 2;2;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;NULL;NULL;440829.056;4474508.929;N;NULL
2023S019368;11/05/2023;17:56:00;CALL. AFUERAS A VALVERDE / AUTOV. M-607;19;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Tractocamión;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;441095.513;4483574.164;N;NULL
2023S019368;11/05/2023;17:56:00;CALL. AFUERAS A VALVERDE / AUTOV. M-607;19;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;441095.513;4483574.164;N;NULL
2023S019369;11/05/2023;16:40:00;PASEO. RECOLETOS / ARMADA ESPAÑOLA;22;4;SALAMANCA;Colisión lateral;Despejado;Camión rígido;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;441435.739;4475093.522;N;NULL
2023S019369;11/05/2023;16:40:00;PASEO. RECOLETOS / ARMADA ESPAÑOLA;22;4;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;441435.739;4475093.522;N;NULL
2023S019370;11/05/2023;19:30:00;AVDA. CIUDAD DE BARCELONA, 108;108;3;RETIRO;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Hombre;2;Ingreso inferior o igual a 24 horas;442019.932;4472935.233;N;NULL
2023S019370;11/05/2023;19:30:00;AVDA. CIUDAD DE BARCELONA, 108;108;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;442019.932;4472935.233;N;NULL
2023S019370;11/05/2023;19:30:00;AVDA. CIUDAD DE BARCELONA, 108;108;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;442019.932;4472935.233;N;NULL
